D & B Used Cars|111 Old Benbrook Rd|817-555-5555
30413|1993|Mazda|Mazda3|Truck|Green|264871|24406.340000
11957|1992|Nissan|Frontier|Truck|Green|32814|29774.940000
85984|2021|Ford|Explorer|Wagon|Green|224074|5407.850000
69336|1995|Honda|Pilot|Sedan|Green|299256|31093.280000
65441|1997|Jeep|Cherokee|Truck|Silver|142892|10682.920000
48414|2023|Chevrolet|Malibu|Coupe|Black|125082|34057.570000
96925|2015|Subaru|Legacy|Truck|Gray|100489|5048.720000
65633|2011|Jeep|Renegade|Wagon|Brown|129444|35425.430000
39132|2002|Hyundai|Tucson|Truck|Teal|246195|3884.620000
61240|2005|Dodge|Charger|Wagon|Brown|292356|31151.970000
27396|1992|Honda|CR-V|Coupe|Yellow|246897|17889.540000
44293|2012|Nissan|Rogue|Truck|Gray|269078|38450.160000
30047|1999|Hyundai|Elantra|Truck|Silver|165893|19579.130000
47815|2002|Toyota|Camry|SUV|Brown|270142|7622.090000
54610|1997|Dodge|Charger|Coupe|Black|61340|4044.570000
91704|1994|Nissan|Altima|Coupe|Green|128148|16520.520000
14336|1996|Nissan|Sentra|Sedan|Silver|139795|4404.770000
68145|2013|Dodge|Charger|Sedan|Green|187206|18041.890000
20561|2014|Honda|Civic|Sedan|White|120495|21553.640000
86297|2008|Subaru|Impreza|Wagon|Brown|134793|9626.490000
35237|2016|Subaru|Outback|SUV|Yellow|110651|39914.430000
37631|2010|Honda|Civic|Wagon|Blue|23309|39973.400000
90483|1991|Ford|F-150|Wagon|Blue|211290|2066.570000
13004|2020|Hyundai|Sonata|SUV|Black|254299|15237.770000
33352|2023|Hyundai|Santa Fe|Coupe|Yellow|154020|34745.620000
26709|1990|Mazda|Tribute|SUV|Silver|172621|31115.680000
95086|2011|Subaru|Forester|Coupe|White|21571|25614.320000
49498|1990|Chevrolet|Tahoe|SUV|Silver|19278|17605.890000
55977|2006|Dodge|Ram|Truck|Teal|216849|17779.540000
43736|2016|Dodge|Neon|Coupe|Yellow|37815|16097.030000
52044|1998|Ford|F-150|SUV|Silver|48408|25339.110000
43058|1998|Jeep|Compass|Sedan|Black|180948|10166.840000
51403|2019|Dodge|Neon|SUV|Silver|229527|29968.820000
13824|1991|Subaru|Forester|SUV|Red|283901|37420.940000
10420|1995|Dodge|Durango|Truck|Brown|165525|18404.020000
41930|2014|Subaru|Legacy|Wagon|Silver|194378|22551.460000
35757|1991|Subaru|Legacy|Coupe|Gray|58551|18718.490000
86390|2017|Subaru|Impreza|Sedan|Teal|118788|699.230000
97721|1999|Toyota|RAV4|SUV|White|169146|5002.020000
70607|2021|Ford|Escape|Sedan|Gray|284010|11359.250000
78620|2021|Chevrolet|Impala|Truck|Teal|193798|18112.340000
70887|2003|Nissan|Rogue|Truck|Green|292577|33669.780000
60343|2002|Honda|Accord|Coupe|Silver|286739|29003.230000
68541|2017|Dodge|Neon|Coupe|Brown|83962|33906.950000
47028|2002|Hyundai|Santa Fe|Sedan|Green|131901|28740.980000
54905|2001|Jeep|Compass|Sedan|Teal|207106|619.070000
62296|2025|Chevrolet|Malibu|Truck|Silver|132017|34365.260000
